ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
 ,BURBANK    ,2480013278,2016,2532,2480-013-278,,VAC,890V,Miscellaneous,Dump Site, , ,0,0,0,0,0,0,0,19731023,35262.0,1978,0.0,1978,35262.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35262.0,0.0,35262.0,Public Entity (Green Code),22,22811,"*TR=7977*LOTS 62, 63 AND LOT   64",0, , , , , ,,20162480013278,34.16457651,-118.34571795,"(34.16457651, -118.34571795)"
 ,LOS ANGELES,2512030055,2016,16,2512-030-055,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20030428,10.0,2003,0.0,2003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,10.0,0.0,10.0, ,3,3123,TRACT NO 20632 LOT   74,0, , , , , ,,20162512030055,34.30904834,-118.41423629,"(34.30904834, -118.41423629)"
 ,SAN FERNANDO,2524015037,2016,675,2524-015-037,,VAC,300V,Industrial,Industrial, ,Vacant Land,0,0,0,0,0,0,0,19930302,18814.0,1975,0.0,1975,18814.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,18814.0,0.0,18814.0, ,24,24803,O.R.M 6612-353 LOT 18,0, , , , , ,,20162524015037,34.28377984,-118.42626472,"(34.28377984, -118.42626472)"
 ,LOS ANGELES,2537003081,2016,8856,2537-003-081,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35939.0,2013,0.0,2013,35939.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35939.0,0.0,35939.0, ,3,3127,TR=61685 LOT 2,0, , , , , ,,20162537003081,34.25902979999999,-118.40243983,"(34.25902980, -118.40243983)"
 ,LOS ANGELES,2537003082,2016,8856,2537-003-082,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35939.0,2013,0.0,2013,35939.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35939.0,0.0,35939.0, ,3,3127,TR=61685 LOT 3,0, , , , , ,,20162537003082,34.25897513,-118.40238189,"(34.25897513, -118.40238189)"
 ,LOS ANGELES,2537003083,2016,8856,2537-003-083,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35229.0,2013,0.0,2013,35229.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35229.0,0.0,35229.0, ,3,3127,TR=61685 LOT 4,0, , , , , ,,20162537003083,34.25892098,-118.4023245,"(34.25892098, -118.40232450)"
 ,LOS ANGELES,2537003084,2016,8856,2537-003-084,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35939.0,2013,0.0,2013,35939.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35939.0,0.0,35939.0, ,3,3127,TR=61685 LOT 5,0, , , , , ,,20162537003084,34.25886683,-118.40226711,"(34.25886683, -118.40226711)"
 ,LOS ANGELES,2537003085,2016,8856,2537-003-085,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35229.0,2013,0.0,2013,35229.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35229.0,0.0,35229.0, ,3,3127,TR=61685 LOT 6,0, , , , , ,,20162537003085,34.25881268,-118.40220973,"(34.25881268, -118.40220973)"
 ,LOS ANGELES,2537003086,2016,8856,2537-003-086,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35939.0,2013,0.0,2013,35939.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35939.0,0.0,35939.0, ,3,3127,TR=61685 LOT 7,0, , , , , ,,20162537003086,34.25875852,-118.40215234,"(34.25875852, -118.40215234)"
 ,LOS ANGELES,2537003087,2016,8856,2537-003-087,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35229.0,2013,0.0,2013,35229.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35229.0,0.0,35229.0, ,3,3127,TR=61685 LOT 8,0, , , , , ,,20162537003087,34.25870437,-118.40209495,"(34.25870437, -118.40209495)"
 ,LOS ANGELES,2537003088,2016,8856,2537-003-088,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35939.0,2013,0.0,2013,35939.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35939.0,0.0,35939.0, ,3,3127,TR=61685 LOT 9,0, , , , , ,,20162537003088,34.25865022,-118.40203756,"(34.25865022, -118.40203756)"
 ,LOS ANGELES,2513019053,2016,16,2513-019-053,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20010524,2455.0,1987,0.0,1987,2455.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,2455.0,0.0,2455.0, ,3,3126,TRACT # 5481 NE 35 FT OF LOT  123,0, , , , , ,,20162513019053,34.29783318,-118.42499232,"(34.29783318, -118.42499232)"
 ,LOS ANGELES,2513020043,2016,16,2513-020-043,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19940715,20593.0,1995,0.0,1995,20593.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,20593.0,0.0,20593.0, ,3,3126,TRACT # 5481 NE 35 FT OF LOT  114,0, , , , , ,,20162513020043,34.29690526,-118.42400839,"(34.29690526, -118.42400839)"
 ,SAN FERNANDO,2519012002,2016,660,2519-012-002,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20140218,3906.0,1975,0.0,1975,3906.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,3906.0,0.0,3906.0, ,3,3126,TRACT NO 6731 NE 25 FT OF LOT    3,0, , , , , ,,20162519012002,34.28680575,-118.43204708,"(34.28680575, -118.43204708)"
 ,unincorporated,2526013008,2016,1704,2526-013-008,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20130723,3813.0,2010,0.0,2010,3813.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,3813.0,0.0,3813.0, ,3,3178,TRACT # 7342 LOT  279,0, , , , , ,,20162526013008,34.28635994,-118.37461014,"(34.28635994, -118.37461014)"
 ,unincorporated,2526013009,2016,1704,2526-013-009,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20150915,15000.0,2016,0.0,2016,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,15000.0,0.0,15000.0, ,3,3178,TRACT # 7342 LOT  280,0, , , , , ,,20162526013009,34.28665838,-118.37423368,"(34.28665838, -118.37423368)"
 ,unincorporated,2526013010,2016,1704,2526-013-010,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20081010,10876.0,2009,0.0,2009,10876.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,10876.0,0.0,10876.0, ,3,3178,TRACT # 7342 LOT  281,0, , , , , ,,20162526013010,34.28680309,-118.37422454,"(34.28680309, -118.37422454)"
 ,unincorporated,2526019030,2016,1704,2526-019-030,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20120823,10.0,2013,0.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,10.0,0.0,10.0, ,3,3178,1/2 VAC ST ADJ ON SE OF LOT 134 TR=7342,0, , , , , ,,20162526019030,34.29069832,-118.37447925,"(34.29069832, -118.37447925)"
 ,unincorporated,2526019031,2016,1704,2526-019-031,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20120823,10.0,2013,0.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,10.0,0.0,10.0, ,3,3178,POR 1/2 VAC ST ADJ ON NW OF LOT 136 TR=7342,0, , , , , ,,20162526019031,34.29071611,-118.3743882,"(34.29071611, -118.37438820)"
 ,unincorporated,2526022014,2016,1704,2526-022-014,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19930302,4464.0,1978,0.0,1978,4464.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,4464.0,0.0,4464.0, ,3,3178,TRACT # 7342 LOT   18,0, , , , , ,,20162526022014,34.29207802,-118.37716389,"(34.29207802, -118.37716389)"
 ,unincorporated,2526022015,2016,1704,2526-022-015,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19930302,3881.0,1978,0.0,1978,3881.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,3881.0,0.0,3881.0, ,3,3178,TRACT # 7342 LOT   20,0, , , , , ,,20162526022015,34.29200007,-118.3770751,"(34.29200007, -118.37707510)"
 ,LOS ANGELES,2528008904,2016,13,2528-008-904,,VAC,880V,Miscellaneous,Government Owned Property, , ,0,0,0,0,0,0,0,19800701,0.0,1981,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3900,*TR=32258 LOT    3,0, , , , , ,,20162528008904,34.25605994,-118.3914449,"(34.25605994, -118.39144490)"
 ,LOS ANGELES,2528008905,2016,13,2528-008-905,,VAC,880V,Miscellaneous,Government Owned Property, , ,0,0,0,0,0,0,0,19800701,0.0,1981,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3900,*TR=32258 LOT    4,0, , , , , ,,20162528008905,34.25493145,-118.39126238,"(34.25493145, -118.39126238)"
 ,LOS ANGELES,2528008906,2016,13,2528-008-906,,VAC,880V,Miscellaneous,Government Owned Property, , ,0,0,0,0,0,0,0,19800701,0.0,1981,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3900,*TR=32258 LOT    5,0, , , , , ,,20162528008906,34.25618816,-118.39038748,"(34.25618816, -118.39038748)"
 ,LOS ANGELES,2528008907,2016,13,2528-008-907,,VAC,880V,Miscellaneous,Government Owned Property, , ,0,0,0,0,0,0,0,19800701,0.0,1981,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3900,*TR=32258 LOT    6,0, , , , , ,,20162528008907,34.25673377,-118.38926208,"(34.25673377, -118.38926208)"
 ,LOS ANGELES,2537003089,2016,8856,2537-003-089,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,35939.0,2013,0.0,2013,35939.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,35939.0,0.0,35939.0, ,3,3127,TR=61685 LOT 10,0, , , , , ,,20162537003089,34.25859555,-118.40197963,"(34.25859555, -118.40197963)"
 ,LOS ANGELES,2537003090,2016,8856,2537-003-090,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,78580.0,2013,0.0,2013,78580.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,78580.0,0.0,78580.0, ,3,3127,TR=61685 LOT 11,0, , , , , ,,20162537003090,34.25850839,-118.40188726,"(34.25850839, -118.40188726)"
 ,LOS ANGELES,2537003091,2016,8856,2537-003-091,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20121130,75230.0,2013,0.0,2013,75230.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,75230.0,0.0,75230.0, ,3,3127,TR=61685 LOT 12,0, , , , , ,,20162537003091,34.25862564,-118.40172037,"(34.25862564, -118.40172037)"
 ,LOS ANGELES,2552012024,2016,13,2552-012-024,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19891128,17701.0,1990,0.0,1990,17701.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,17701.0,0.0,17701.0, ,3,3178,TRACT NO 3712 LOT 3068,0, , , , , ,,20162552012024,34.27338658,-118.30672923,"(34.27338658, -118.30672923)"
 ,LOS ANGELES,2552049016,2016,13,2552-049-016,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20060126,50203.0,2006,0.0,2006,50203.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,50203.0,0.0,50203.0, ,3,3178,TR=52642 VAC ST AND POR LOT 16,0, , , , , ,,20162552049016,34.27813775,-118.29719462,"(34.27813775, -118.29719462)"
 ,LOS ANGELES,2555010029,2016,13,2555-010-029,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20030805,6811.0,1975,0.0,1975,6811.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,6811.0,0.0,6811.0, ,3,3177,TRACT NO 5263 LOT   30,0, , , , , ,,20162555010029,34.26385292,-118.31535232,"(34.26385292, -118.31535232)"
 ,LOS ANGELES,2555013007,2016,13,2555-013-007,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19910429,7842.0,1975,0.0,1975,7842.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,7842.0,0.0,7842.0, ,3,3177,TRACT NO 6991 LOT   80,0, , , , , ,,20162555013007,34.26588967,-118.31424858,"(34.26588967, -118.31424858)"
 ,LOS ANGELES,2555031026,2016,13,2555-031-026,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20140429,155330.0,2014,0.0,2014,155330.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,155330.0,0.0,155330.0, ,3,3177,PARCEL MAP AS PER BK 17 PG 9 OF P M LOT    B,0, , , , , ,,20162555031026,34.26254598,-118.32245372,"(34.26254598, -118.32245372)"
 ,LOS ANGELES,2556012014,2016,13,2556-012-014,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19890109,52459.0,1989,0.0,1989,52459.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,52459.0,0.0,52459.0, ,3,3177,TRACT NO 4122 LOT   18,0, , , , , ,,20162556012014,34.26443893,-118.30451195,"(34.26443893, -118.30451195)"
 ,LOS ANGELES,2556025003,2016,13,2556-025-003,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20041110,76117.0,2002,0.0,2002,76117.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,76117.0,0.0,76117.0, ,3,3177,TRACT NO 6443 LOT  220,0, , , , , ,,20162556025003,34.26113899,-118.30851121,"(34.26113899, -118.30851121)"
 ,LOS ANGELES,2556030018,2016,13,2556-030-018,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19801124,29404.0,1981,0.0,1981,29404.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,29404.0,0.0,29404.0, ,3,3177,TRACT NO 3985 EX N 74.65 FT LOT   22,0, , , , , ,,20162556030018,34.26063372,-118.30353298,"(34.26063372, -118.30353298)"
 ,LOS ANGELES,2556031900,2016,13,2556-031-900,,OTH,8800,Miscellaneous,Government Owned Property, , ,0,0,0,0,0,0,0,19640429,0.0,1975,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),3,3900,TRACT NO 14622 LOT    5,0, , , , , ,,20162556031900,34.26354828,-118.30540337,"(34.26354828, -118.30540337)"
 ,LOS ANGELES,2560038010,2016,13,2560-038-010,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20060125,4914.0,1999,0.0,1999,4914.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,4914.0,0.0,4914.0, ,3,3177,TRACT NO 3708 LOT 2240,0, , , , , ,,20162560038010,34.25139869,-118.31356178,"(34.25139869, -118.31356178)"
 ,LOS ANGELES,2560038011,2016,13,2560-038-011,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20060125,4732.0,1999,0.0,1999,4732.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,4732.0,0.0,4732.0, ,3,3177,TRACT NO 3708 LOT 2241,0, , , , , ,,20162560038011,34.25138997,-118.31346261,"(34.25138997, -118.31346261)"
 ,LOS ANGELES,2560038012,2016,13,2560-038-012,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20060125,4494.0,1999,0.0,1999,4494.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,4494.0,0.0,4494.0, ,3,3177,TRACT NO 3708 LOT 2242,0, , , , , ,,20162560038012,34.25138128,-118.31336345,"(34.25138128, -118.31336345)"
 ,LOS ANGELES,2560038013,2016,13,2560-038-013,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19930917,30142.0,1994,0.0,1994,30142.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,30142.0,0.0,30142.0, ,3,3177,TRACT NO 3708 LOT 2243,0, , , , , ,,20162560038013,34.25137244,-118.31326434,"(34.25137244, -118.31326434)"
 ,LOS ANGELES,2560038014,2016,13,2560-038-014,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19930917,28418.0,1994,0.0,1994,28418.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,28418.0,0.0,28418.0, ,3,3177,TRACT NO 3708 LOT 2244,0, , , , , ,,20162560038014,34.25135847,-118.31316564,"(34.25135847, -118.31316564)"
 ,LOS ANGELES,2564015013,2016,13,2564-015-013,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20100427,2326.0,2010,0.0,2010,2326.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,2326.0,0.0,2326.0, ,3,3176,TRACT NO 3731 LOT   23,0, , , , , ,,20162564015013,34.24467268,-118.28156213,"(34.24467268, -118.28156213)"
 ,LOS ANGELES,2560038015,2016,13,2560-038-015,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20060125,12938.0,1998,0.0,1998,12938.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,12938.0,0.0,12938.0, ,3,3177,TRACT NO 3708 LOT 2245,0, , , , , ,,20162560038015,34.25134182,-118.31306665,"(34.25134182, -118.31306665)"
 ,LOS ANGELES,2564015014,2016,13,2564-015-014,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20140203,3105.0,2014,0.0,2014,3105.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,3105.0,0.0,3105.0, ,3,3176,TRACT NO 3731 LOT   24,0, , , , , ,,20162564015014,34.24475511,-118.28156079,"(34.24475511, -118.28156079)"
 ,LOS ANGELES,2564016023,2016,13,2564-016-023,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20150713,1242.0,2002,0.0,2002,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1242.0,0.0,1242.0, ,3,3176,TRACT NO 3731 LOT   18,0, , , , , ,,20162564016023,34.24485269,-118.28182354,"(34.24485269, -118.28182354)"
 ,LOS ANGELES,2564016024,2016,13,2564-016-024,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20150713,1242.0,2002,0.0,2002,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1242.0,0.0,1242.0, ,3,3176,TRACT NO 3731 LOT   19,0, , , , , ,,20162564016024,34.24477027,-118.28182488,"(34.24477027, -118.28182488)"
 ,LOS ANGELES,2560038016,2016,13,2560-038-016,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20060125,12805.0,1998,0.0,1998,12805.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,12805.0,0.0,12805.0, ,3,3177,TRACT NO 3708 LOT 2246,0, , , , , ,,20162560038016,34.25132516,-118.31296769,"(34.25132516, -118.31296769)"
 ,LOS ANGELES,2562009009,2016,13,2562-009-009,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,19990811,57124.0,1991,0.0,1991,57124.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,57124.0,0.0,57124.0, ,3,3176,HILLHAVEN TRACT LOT  137,0, , , , , ,,20162562009009,34.2436852,-118.2948481,"(34.24368520, -118.29484810)"
 ,LOS ANGELES,2564016025,2016,13,2564-016-025,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20150713,1242.0,2002,0.0,2002,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1242.0,0.0,1242.0, ,3,3176,TRACT NO 3731 LOT   20,0, , , , , ,,20162564016025,34.24468784,-118.28182623,"(34.24468784, -118.28182623)"
 ,LOS ANGELES,2562009010,2016,13,2562-009-010,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20140723,57124.0,1991,0.0,1991,57124.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,57124.0,0.0,57124.0, ,3,3176,HILLHAVEN TRACT LOT  138,0, , , , , ,,20162562009010,34.24359022,-118.29491688,"(34.24359022, -118.29491688)"
 ,LOS ANGELES,2562009011,2016,13,2562-009-011,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20060516,57124.0,1991,0.0,1991,57124.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,57124.0,0.0,57124.0, ,3,3176,HILLHAVEN TRACT LOT  139,0, , , , , ,,20162562009011,34.24350474,-118.29500285,"(34.24350474, -118.29500285)"
 ,LOS ANGELES,2562009012,2016,13,2562-009-012,,VAC,010V,Residential,Single Family Residence, ,Vacant Land,0,0,0,0,0,0,0,20110825,15384.0,2012,0.0,2012,15384.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,15384.0,0.0,15384.0, ,3,3176,HILLHAVEN TRACT LOT  140,0, , , , , ,,20162562009012,34.24342175,-118.29509422,"(34.24342175, -118.29509422)"
